""	"B_Outcome"	"Num_Startups"	"P_Work_Exp"	"P_Startup_Exp"
"130"	"Success"	"1"	"Industry"	"Successful"
"131"	"Success"	"1"	NA	"Unsuccessful"
"132"	"Success"	NA	"Management"	NA
"133"	"Success"	NA	"Management"	NA
"134"	"Success"	NA	"Management"	NA
"135"	"Failure"	NA	NA	"Unsuccessful"
"136"	"Failure"	NA	"Industry"	NA
"137"	"Failure"	NA	"Industry"	NA
"138"	"Success"	"1"	"Industry"	"Successful"
"139"	"Failure"	"1"	"Industry"	"Unsuccessful"
"140"	"Failure"	"5"	NA	"Unsuccessful"
"141"	"Failure"	NA	"Industry"	NA
"142"	"Failure"	NA	"Industry"	"Unsuccessful"
"143"	"Failure"	NA	"Management"	NA
"144"	"Success"	"1"	"Industry"	"Successful"
"145"	"Success"	NA	"Management"	NA
"146"	"Failure"	NA	"Industry"	NA
"147"	"Success"	"1"	"Industry"	"Unsuccessful"
"148"	"Failure"	NA	"Industry"	NA
"149"	"Failure"	NA	"Industry"	NA
"150"	"Failure"	"1"	"Management"	NA
"151"	"Success"	NA	NA	"Unsuccessful"
"152"	"Failure"	NA	"Management"	"Successful"
"153"	"Success"	"1"	"Management"	"Successful"
